Donor_ID,Donor_Name,Contribution_Amount,Donation_Date
1,Alice Johnson,100.0,01/01/2024
2,Bob Smith,250.0,02/01/2024
3,Charlie Lee,,03/01/2024
4,Diana Prince,400.0,04/01/2024
5,Ethan Hunt,150.0,05/01/2024
6,Fiona Green,200.0,06/01/2024
7,George White,,07/01/2024
3,Charlie Lee,,03/01/2024
8,Hannah Brown,300.0,09/01/2024
9,,500.0,10/01/2024
10,Jack Black,250.0,11/01/2024
11,Karen Davis,,12/01/2024
12,Leo King,100.0,13/01/2024
13,Mona Singh,450.0,14/01/2024
14,,350.0,15-01-2024
15,Oliver Twist,,16/01/2024
16,Paul Adams,200.0,17/01/2024
17,Quincy Jones,150.0,18/01/2024
18,Rachel Green,300.0,19/01/2024
19,Sam Wilson,,20/01/2024
